title,price,positive_percent,log_review_volume
Counter-Strike 2,0.0,86.0,14.735082700118035
Crimson Desert,1299.0,83.0,10.30534616505018
Apex Legends™,0.0,76.0,12.99008605524748
Marvel Rivals,0.0,78.0,12.517611615606175
Slay the Spire 2,290.0,95.0,10.48113970295765
Warframe,0.0,91.0,12.575205664390936
Gray Zone Warfare,381.83,71.0,10.609723697637792
PUBG: BATTLEGROUNDS,0.0,66.0,13.001920808322039
ARC Raiders,607.2,86.0,12.103729794361668
Dead by Daylight,329.99,79.0,12.434020637016282
Resident Evil Requiem,999.0,96.0,10.707326014938701
Red Dead Redemption 2,299.75,91.0,12.579076543482957
Borderlands 4,979.3,62.0,10.60554491922583
THE FINALS,0.0,80.0,11.91174185257322
Grand Theft Auto V Enhanced,299.5,78.0,10.923958103319947
Marathon,649.0,89.0,10.109810426119994
NBA 2K26,349.75,74.0,8.915029272359911
The Seven Deadly Sins: Origin,0.0,55.0,7.91862865334224
Tom Clancy's Rainbow Six Siege,0.0,82.0,13.549353811118037
Life is Strange: Reunion,700.0,92.0,6.6293632534374485
War Thunder,0.0,74.0,12.622748016516313
HELLDIVERS™ 2,699.0,82.0,13.329463721937259
DEATH STRANDING 2: ON THE BEACH,1199.0,95.0,7.761319180947987
Dota 2,0.0,88.0,13.62270948232188
Mega Man Star Force Legacy Collection,559.0,96.0,4.6913478822291435
Ready or Not,414.99,76.0,11.86642336745314
Rust,449.0,86.0,13.155595038086465
Heartopia,0.0,61.0,8.715880102296456
Where Winds Meet,0.0,87.0,10.987392212331963
Last Epoch,311.99,80.0,10.985563872564137
Yu-Gi-Oh! Master Duel,0.0,73.0,10.767790011739155
The Outlast Trials,122.99,94.0,10.529853699405722
Retro Rewind - Video Store Simulator,199.0,94.0,7.714677473800927
Nova Roma,239.99,96.0,5.298317366548036
Borderlands®4 - Story Pack 1: Mad Ellie and the Vault of the Damned,599.0,37.0,5.198497031265826
Super Battle Golf,101.99,94.0,8.267448958304849
Dying Light: The Beast Restored Land,749.25,88.0,10.102256440708683
Infinity Nikki,0.0,53.0,8.495356496807062
Phasmophobia,160.3,96.0,12.760799358535136
Scritchy Scratchy,64.79,95.0,7.207118856207756
Overwatch®,0.0,38.0,11.919276846888375
MapleStory,0.0,61.0,9.457200449907708
R.E.P.O.,115.0,96.0,11.717497630699002
The First Descendant,0.0,64.0,10.821117387411512
Baldur's Gate 3,1299.0,96.0,12.98917021328838
StarSavior,0.0,61.0,7.5953872788539725
EverSiege: Untold Ages,105.0,72.0,5.627621113690637
Schedule I,227.99,98.0,12.120514757168527
